iter	Passed	Remaining
0	65	65626
1	142	71309
2	221	73536
3	292	72920
4	370	73703
5	443	73492
6	514	72961
7	578	71753
8	644	70967
9	723	71638
10	810	72901
11	895	73712
12	978	74328
13	1061	74783
14	1146	75276
15	1230	75679
16	1315	76050
17	1398	76302
18	1479	76407
19	1551	76023
20	1619	75514
21	1693	75268
22	1765	74982
23	1835	74627
24	1909	74451
25	1986	74403
26	2055	74067
27	2125	73775
28	2194	73465
29	2263	73181
30	2331	72870
31	2401	72645
32	2474	72516
33	2544	72290
34	2613	72062
35	2683	71850
36	2751	71604
37	2821	71419
38	2891	71258
39	2967	71229
40	3057	71506
41	3143	71705
42	3292	73274
43	3382	73490
44	3468	73612
45	3548	73594
46	3625	73520
47	3698	73351
48	3778	73341
49	3871	73562
50	3958	73666
51	4040	73669
52	4124	73694
53	4211	73773
54	4291	73737
55	4368	73644
56	4451	73647
57	4529	73564
58	4607	73491
59	4687	73441
60	4765	73362
61	4843	73274
62	4922	73212
63	5015	73352
64	5094	73288
65	5177	73266
66	5267	73348
67	5351	73347
68	5435	73334
69	5525	73407
70	5609	73398
71	5717	73689
72	5807	73753
73	5909	73943
74	5997	73974
75	6113	74327
76	6213	74485
77	6295	74415
78	6388	74480
79	6489	74627
80	6618	75085
81	6732	75375
82	6858	75768
83	6982	76140
84	7068	76086
85	7161	76115
86	7253	76116
87	7382	76505
88	7490	76672
89	7615	76999
90	7719	77114
91	7808	77069
92	7927	77310
93	8024	77341
94	8119	77351
95	8205	77269
96	8311	77378
97	8430	77591
98	8593	78213
99	8693	78239
100	8825	78553
101	8973	79001
102	9104	79290
103	9180	79089
104	9258	78914
105	9334	78727
106	9398	78436
107	9463	78158
108	9525	77861
109	9588	77578
110	9652	77306
111	9732	77163
112	9869	77474
113	10013	77824
114	10090	77650
115	10156	77398
116	10226	77180
117	10293	76939
118	10364	76728
119	10434	76516
120	10504	76308
121	10571	76079
122	10643	75888
123	10718	75722
124	10796	75572
125	10867	75381
126	10948	75263
127	11023	75099
128	11092	74898
129	11155	74655
130	11219	74422
131	11293	74265
132	11364	74085
133	11431	73880
134	11502	73703
135	11571	73512
136	11634	73285
137	11708	73132
138	11780	72971
139	11860	72856
140	11935	72713
141	12002	72520
142	12102	72532
143	12208	72573
144	12289	72463
145	12359	72295
146	12427	72111
147	12496	71940
148	12568	71781
149	12637	71611
150	12701	71417
151	12769	71242
152	12836	71061
153	12909	70920
154	12980	70766
155	13055	70635
156	13132	70513
157	13199	70342
158	13272	70201
159	13346	70070
160	13419	69929
161	13489	69779
162	13562	69645
163	13643	69551
164	13716	69415
165	13869	69680
166	13958	69625
167	14045	69558
168	14166	69661
169	14328	69954
170	14453	70071
171	14592	70249
172	14730	70417
173	14870	70593
174	14954	70501
175	15023	70337
176	15094	70185
177	15161	70017
178	15225	69832
179	15290	69658
180	15363	69515
181	15433	69364
182	15550	69423
183	15676	69521
184	15776	69501
185	15891	69547
186	16005	69583
187	16088	69489
188	16174	69405
189	16243	69246
190	16309	69081
191	16374	68908
192	16441	68748
193	16504	68570
194	16634	68672
195	16785	68853
196	16858	68718
197	16925	68558
198	17047	68617
199	17205	68822
200	17322	68858
201	17403	68750
202	17468	68582
203	17536	68427
204	17605	68274
205	17675	68128
206	17746	67984
207	17818	67846
208	17885	67691
209	17969	67600
210	18041	67463
211	18112	67324
212	18181	67177
213	18258	67060
214	18339	66961
215	18406	66809
216	18487	66706
217	18551	66546
218	18621	66408
219	18699	66298
220	18778	66191
221	18845	66043
222	18911	65891
223	18981	65756
224	19125	65875
225	19306	66119
226	19412	66105
227	19491	65998
228	19588	65949
229	19664	65833
230	19729	65679
231	19803	65555
232	19888	65469
233	19970	65372
234	20041	65241
235	20111	65106
236	20178	64962
237	20275	64916
238	20354	64811
239	20430	64695
240	20500	64563
241	20569	64429
242	20641	64301
243	20712	64173
244	20785	64054
245	20864	63951
246	20990	63992
247	21093	63962
248	21176	63870
249	21259	63777
250	21330	63652
251	21404	63532
252	21481	63426
253	21568	63346
254	21669	63307
255	21778	63292
256	21882	63263
257	21961	63159
258	22040	63058
259	22151	63045
260	22283	63092
261	22388	63062
262	22454	62924
263	22522	62788
264	22592	62661
265	22658	62523
266	22724	62385
267	22806	62292
268	22874	62159
269	22942	62029
270	23012	61905
271	23088	61796
272	23163	61684
273	23239	61575
274	23304	61438
275	23373	61311
276	23459	61231
277	23530	61111
278	23603	60996
279	23673	60875
280	23797	60892
281	23903	60861
282	24017	60849
283	24098	60754
284	24170	60637
285	24244	60527
286	24379	60565
287	24477	60513
288	24578	60468
289	24645	60338
290	24729	60252
291	24799	60129
292	24871	60013
293	24940	59891
294	25009	59767
295	25079	59649
296	25151	59532
297	25222	59415
298	25288	59289
299	25380	59220
300	25454	59111
301	25524	58993
302	25600	58890
303	25675	58784
304	25751	58679
305	25837	58599
306	25903	58472
307	25976	58363
308	26051	58256
309	26125	58151
310	26194	58032
311	26261	57909
312	26332	57796
313	26402	57680
314	26470	57562
315	26533	57432
316	26599	57311
317	26677	57213
318	26745	57095
319	26808	56968
320	26875	56849
321	26944	56733
322	27011	56614
323	27084	56509
324	27156	56402
325	27232	56303
326	27312	56212
327	27402	56141
328	27478	56043
329	27557	55949
330	27635	55854
331	27699	55733
332	27767	55618
333	27840	55513
334	27910	55405
335	27982	55298
336	28061	55206
337	28136	55108
338	28239	55063
339	28340	55013
340	28440	54962
341	28534	54900
342	28658	54894
343	28802	54926
344	28955	54972
345	29043	54896
346	29111	54783
347	29188	54685
348	29258	54576
349	29393	54588
350	29554	54645
351	29737	54744
352	29821	54658
353	29938	54632
354	30098	54685
355	30278	54772
356	30378	54716
357	30453	54612
358	30526	54504
359	30595	54391
360	30662	54274
361	30731	54161
362	30805	54058
363	30874	53945
364	30947	53840
365	31013	53723
366	31141	53712
367	31216	53611
368	31281	53491
369	31357	53391
370	31428	53284
371	31502	53181
372	31581	53086
373	31659	52992
374	31729	52882
375	31792	52761
376	31859	52647
377	31924	52532
378	31998	52429
379	32068	52321
380	32140	52218
381	32211	52111
382	32345	52108
383	32454	52061
384	32534	51970
385	32603	51862
386	32681	51766
387	32751	51659
388	32829	51565
389	32902	51463
390	32972	51356
391	33039	51244
392	33142	51189
393	33219	51093
394	33292	50991
395	33361	50885
396	33436	50786
397	33505	50679
398	33577	50576
399	33650	50475
400	33727	50381
401	33796	50274
402	33876	50184
403	33984	50136
404	34066	50049
405	34179	50006
406	34305	49983
407	34393	49903
408	34487	49834
409	34603	49794
410	34725	49765
411	34798	49663
412	34872	49564
413	35010	49556
414	35115	49499
415	35243	49476
416	35334	49400
417	35406	49297
418	35476	49193
419	35567	49117
420	35641	49017
421	35713	48915
422	35778	48804
423	35847	48698
424	35923	48602
425	35989	48492
426	36056	48385
427	36129	48285
428	36195	48176
429	36263	48069
430	36329	47961
431	36395	47852
432	36455	47737
433	36519	47626
434	36590	47525
435	36659	47422
436	36727	47317
437	36794	47211
438	36862	47106
439	36925	46996
440	36997	46896
441	37068	46796
442	37140	46698
443	37205	46591
444	37268	46481
445	37344	46387
446	37422	46296
447	37556	46275
448	37647	46199
449	37717	46099
450	37787	45998
451	37857	45897
452	37931	45802
453	37999	45699
454	38066	45596
455	38144	45506
456	38218	45410
457	38286	45308
458	38361	45214
459	38431	45114
460	38495	45009
461	38558	44901
462	38629	44804
463	38695	44699
464	38760	44595
465	38823	44488
466	38899	44396
467	38966	44295
468	39038	44199
469	39113	44106
470	39184	44009
471	39257	43915
472	39333	43823
473	39409	43732
474	39475	43630
475	39537	43524
476	39607	43427
477	39675	43327
478	39745	43230
479	39814	43132
480	39877	43027
481	39949	42933
482	40078	42899
483	40213	42872
484	40300	42792
485	40406	42734
486	40500	42662
487	40638	42637
488	40745	42578
489	40835	42502
490	40902	42402
491	40971	42304
492	41038	42204
493	41104	42103
494	41179	42011
495	41243	41908
496	41324	41823
497	41395	41728
498	41467	41633
499	41536	41536
500	41616	41450
501	41695	41363
502	41761	41263
503	41829	41165
504	41899	41070
505	41971	40976
506	42049	40888
507	42116	40790
508	42188	40696
509	42258	40601
510	42323	40501
511	42394	40407
512	42460	40308
513	42534	40217
514	42613	40130
515	42688	40040
516	42749	39938
517	42832	39855
518	42895	39754
519	42966	39661
520	43029	39561
521	43097	39464
522	43166	39370
523	43241	39280
524	43304	39180
525	43377	39089
526	43457	39004
527	43530	38913
528	43598	38817
529	43668	38724
530	43748	38640
531	43812	38541
532	43879	38446
533	43942	38346
534	44018	38259
535	44094	38171
536	44162	38076
537	44230	37982
538	44304	37893
539	44382	37807
540	44453	37715
541	44519	37619
542	44592	37529
543	44661	37436
544	44734	37347
545	44799	37251
546	44867	37157
547	44934	37062
548	45005	36971
549	45076	36881
550	45146	36789
551	45224	36703
552	45295	36613
553	45365	36521
554	45467	36456
555	45564	36385
556	45682	36332
557	45756	36244
558	45817	36146
559	45896	36061
560	45972	35974
561	46047	35887
562	46119	35797
563	46197	35712
564	46265	35620
565	46334	35528
566	46402	35435
567	46470	35343
568	46534	35248
569	46602	35156
570	46668	35062
571	46737	34971
572	46805	34879
573	46875	34789
574	46946	34699
575	47016	34609
576	47094	34525
577	47166	34436
578	47237	34346
579	47316	34263
580	47382	34171
581	47450	34079
582	47520	33989
583	47592	33901
584	47674	33820
585	47750	33735
586	47824	33648
587	47892	33557
588	47970	33473
589	48036	33381
590	48104	33290
591	48167	33196
592	48234	33105
593	48304	33016
594	48398	32943
595	48471	32856
596	48533	32762
597	48598	32669
598	48675	32585
599	48781	32521
600	48941	32492
601	49077	32446
602	49153	32361
603	49228	32275
604	49368	32232
605	49496	32181
606	49652	32147
607	49789	32101
608	49915	32047
609	50004	31970
610	50087	31888
611	50168	31806
612	50237	31715
613	50316	31632
614	50388	31543
615	50504	31483
616	50590	31403
617	50681	31327
618	50795	31264
619	50911	31203
620	51004	31128
621	51123	31068
622	51200	30983
623	51275	30896
624	51348	30808
625	51436	30730
626	51553	30668
627	51646	30593
628	51728	30510
629	51805	30425
630	51882	30340
631	51955	30252
632	52034	30168
633	52114	30084
634	52249	30033
635	52346	29959
636	52430	29877
637	52503	29790
638	52578	29704
639	52653	29617
640	52778	29559
641	52849	29470
642	52927	29385
643	53017	29308
644	53104	29228
645	53176	29140
646	53246	29051
647	53322	28965
648	53394	28877
649	53474	28794
650	53541	28703
651	53632	28625
652	53717	28544
653	53806	28466
654	53897	28388
655	53978	28305
656	54052	28219
657	54128	28133
658	54206	28049
659	54284	27964
660	54361	27879
661	54430	27790
662	54506	27705
663	54596	27627
664	54678	27544
665	54754	27459
666	54821	27369
667	54890	27280
668	54965	27194
669	55040	27109
670	55119	27025
671	55192	26939
672	55261	26850
673	55334	26764
674	55412	26680
675	55485	26593
676	55566	26511
677	55646	26428
678	55718	26340
679	55792	26255
680	55867	26169
681	55940	26083
682	56069	26023
683	56183	25956
684	56287	25884
685	56390	25811
686	56490	25737
687	56576	25656
688	56652	25571
689	56725	25485
690	56800	25399
691	56875	25314
692	56952	25230
693	57026	25144
694	57098	25057
695	57173	24972
696	57248	24886
697	57330	24805
698	57400	24717
699	57480	24634
700	57552	24547
701	57626	24462
702	57703	24378
703	57797	24301
704	57890	24223
705	57969	24140
706	58068	24065
707	58142	23979
708	58212	23892
709	58285	23806
710	58355	23719
711	58422	23631
712	58498	23546
713	58573	23462
714	58670	23386
715	58752	23303
716	58826	23218
717	58894	23131
718	58962	23043
719	59037	22959
720	59115	22875
721	59188	22790
722	59264	22705
723	59340	22621
724	59408	22534
725	59483	22449
726	59565	22367
727	59634	22280
728	59705	22195
729	59778	22109
730	59847	22023
731	59913	21935
732	59986	21850
733	60052	21763
734	60133	21680
735	60207	21596
736	60273	21508
737	60341	21422
738	60413	21336
739	60481	21250
740	60553	21165
741	60632	21082
742	60705	20997
743	60782	20914
744	60859	20831
745	60927	20744
746	61003	20661
747	61077	20576
748	61149	20491
749	61301	20433
750	61394	20355
751	61476	20274
752	61552	20190
753	61628	20106
754	61699	20021
755	61776	19938
756	61852	19854
757	61922	19769
758	61994	19684
759	62067	19600
760	62134	19514
761	62203	19428
762	62263	19340
763	62335	19255
764	62411	19172
765	62483	19087
766	62561	19004
767	62633	18920
768	62707	18836
769	62776	18751
770	62854	18668
771	62946	18590
772	63017	18505
773	63091	18422
774	63163	18337
775	63233	18253
776	63318	18172
777	63386	18087
778	63449	18000
779	63521	17916
780	63591	17831
781	63667	17748
782	63743	17665
783	63819	17582
784	63897	17500
785	63967	17416
786	64034	17330
787	64108	17247
788	64178	17163
789	64255	17080
790	64334	16998
791	64409	16915
792	64479	16831
793	64546	16746
794	64620	16663
795	64691	16579
796	64764	16495
797	64842	16413
798	64910	16329
799	64983	16245
800	65061	16163
801	65137	16081
802	65202	15996
803	65273	15912
804	65361	15832
805	65429	15748
806	65502	15665
807	65578	15582
808	65664	15503
809	65750	15422
810	65828	15340
811	65911	15260
812	65981	15176
813	66053	15093
814	66136	15012
815	66207	14929
816	66277	14845
817	66367	14766
818	66438	14682
819	66548	14608
820	66618	14524
821	66685	14440
822	66760	14357
823	66835	14275
824	66911	14193
825	66976	14108
826	67063	14029
827	67134	13945
828	67201	13861
829	67279	13780
830	67343	13695
831	67414	13612
832	67486	13529
833	67552	13445
834	67620	13362
835	67686	13278
836	67760	13195
837	67824	13111
838	67896	13028
839	67958	12944
840	68028	12861
841	68091	12777
842	68154	12693
843	68230	12611
844	68296	12527
845	68367	12445
846	68438	12362
847	68498	12278
848	68572	12196
849	68636	12112
850	68707	12029
851	68772	11946
852	68849	11865
853	68916	11782
854	68975	11697
855	69051	11616
856	69125	11534
857	69188	11450
858	69256	11368
859	69327	11285
860	69400	11204
861	69471	11121
862	69532	11038
863	69599	10955
864	69671	10873
865	69734	10790
866	69799	10707
867	69864	10624
868	69953	10545
869	70026	10463
870	70096	10381
871	70158	10298
872	70228	10216
873	70293	10133
874	70368	10052
875	70436	9970
876	70513	9889
877	70587	9808
878	70663	9727
879	70725	9644
880	70788	9561
881	70857	9479
882	70923	9397
883	70988	9315
884	71056	9233
885	71119	9150
886	71188	9069
887	71256	8987
888	71324	8905
889	71406	8825
890	71476	8744
891	71552	8663
892	71635	8583
893	71704	8501
894	71801	8423
895	71875	8342
896	71949	8261
897	72014	8179
898	72076	8097
899	72149	8016
900	72219	7935
901	72291	7854
902	72361	7773
903	72439	7692
904	72513	7611
905	72584	7530
906	72657	7449
907	72723	7368
908	72793	7287
909	72857	7205
910	72919	7123
911	72991	7043
912	73063	6962
913	73133	6881
914	73196	6799
915	73270	6719
916	73339	6638
917	73437	6559
918	73505	6478
919	73574	6397
920	73644	6316
921	73709	6235
922	73775	6154
923	73838	6073
924	73913	5992
925	73982	5912
926	74052	5831
927	74118	5750
928	74196	5670
929	74258	5589
930	74332	5509
931	74400	5428
932	74459	5347
933	74536	5267
934	74610	5186
935	74680	5106
936	74754	5026
937	74828	4946
938	74897	4865
