iter	Passed	Remaining
0	99	299817
1	191	287301
2	289	288780
3	397	297927
4	500	300039
5	595	297245
6	692	295892
7	882	330055
8	1042	346607
9	1146	342702
10	1241	337339
11	1336	332666
12	1426	327705
13	1516	323355
14	1604	319359
15	1698	316732
16	1786	313558
17	1878	311287
18	1970	309111
19	2057	306548
20	2149	304904
21	2238	302955
22	2326	301144
23	2411	299081
24	2503	297895
25	2599	297352
26	2687	295921
27	2782	295380
28	2873	294348
29	2959	293035
30	3052	292327
31	3142	291435
32	3236	291016
33	3329	290431
34	3423	290006
35	3511	289079
36	3597	288100
37	3689	287585
38	3778	286863
39	3868	286290
40	3962	285947
41	4049	285171
42	4138	284583
43	4241	284935
44	4340	285039
45	4478	287595
46	4616	290081
47	4718	290178
48	4813	289910
49	4905	289449
50	4999	289113
51	5092	288691
52	5190	288626
53	5283	288222
54	5383	288241
55	5478	287995
56	5573	287753
57	5669	287600
58	5765	287395
59	5860	287144
60	5956	286980
61	6141	291017
62	6254	291563
63	6362	291883
64	6457	291599
65	6548	291127
66	6665	291810
67	6799	293183
68	6919	293946
69	7023	293965
70	7129	294110
71	7239	294410
72	7344	294501
73	7441	294242
74	7532	293759
75	7621	293230
76	7711	292743
77	7796	292056
78	7890	291743
79	7981	291325
80	8070	290838
81	8164	290548
82	8254	290095
83	8354	290023
84	8460	290160
85	8549	289677
86	8642	289364
87	8732	288971
88	8824	288630
89	8916	288288
90	9012	288108
91	9119	288251
92	9213	288004
93	9307	287755
94	9403	287558
95	9503	287467
96	9593	287105
97	9693	287043
98	9790	286880
99	9888	286762
100	9987	286674
101	10077	286322
102	10172	286103
103	10268	285930
104	10359	285617
105	10452	285370
106	10543	285080
107	10636	284821
108	10732	284655
109	10832	284588
110	10927	284397
111	11026	284318
112	11118	284063
113	11208	283754
114	11315	283875
115	11481	285449
116	11594	285688
117	11688	285472
118	11787	285387
119	11882	285169
120	11971	284838
121	12066	284654
122	12167	284598
123	12259	284352
124	12359	284274
125	12455	284102
126	12552	283952
127	12650	283848
128	12740	283546
129	12836	283380
130	12923	283038
131	13017	282845
132	13110	282621
133	13207	282478
134	13302	282318
135	13396	282108
136	13492	281956
137	13580	281639
138	13674	281464
139	13768	281266
140	13862	281090
141	13960	280978
142	14059	280900
143	14157	280800
144	14251	280611
145	14342	280365
146	14428	280036
147	14521	279842
148	14612	279606
149	14702	279353
150	14803	279307
151	14898	279158
152	14998	279088
153	15090	278884
154	15189	278793
155	15289	278746
156	15387	278633
157	15484	278526
158	15582	278420
159	15670	278153
160	15764	277992
161	15869	278001
162	15979	278113
