MAS: Financial Database - Domestic Interest Rates

Domestic Interest Rates (Daily)
Jan 2017 to Feb 2026


SORA Value Date,,,SORA Publication Date,Compound SORA - 3 month
2017,Jan,03,04 Jan 2017,0.1478
,,04,05 Jan 2017,0.1488
,,05,06 Jan 2017,0.1494
,,06,09 Jan 2017,0.1498
,,09,10 Jan 2017,0.1490
,,10,11 Jan 2017,0.1485
,,11,12 Jan 2017,0.1476
,,12,13 Jan 2017,0.1470
,,13,16 Jan 2017,0.1490
,,16,17 Jan 2017,0.1493
,,17,18 Jan 2017,0.1507
,,18,19 Jan 2017,0.1518
,,19,20 Jan 2017,0.1523
,,20,23 Jan 2017,0.1502
,,23,24 Jan 2017,0.1493
,,24,25 Jan 2017,0.1482
,,25,26 Jan 2017,0.1480
,,26,27 Jan 2017,0.1493
,,27,31 Jan 2017,0.1681
,,31,01 Feb 2017,0.1688
,Feb,01,02 Feb 2017,0.1693
,,02,03 Feb 2017,0.1706
,,03,06 Feb 2017,0.1820
,,06,07 Feb 2017,0.1848
,,07,08 Feb 2017,0.1855
,,08,09 Feb 2017,0.1863
,,09,10 Feb 2017,0.1890
,,10,13 Feb 2017,0.2051
,,13,14 Feb 2017,0.2123
,,14,15 Feb 2017,0.2154
,,15,16 Feb 2017,0.2162
,,16,17 Feb 2017,0.2165
,,17,20 Feb 2017,0.2203
,,20,21 Feb 2017,0.2215
,,21,22 Feb 2017,0.2259
,,22,23 Feb 2017,0.2316
,,23,24 Feb 2017,0.2371
,,24,27 Feb 2017,0.2365
,,27,28 Feb 2017,0.2364
,,28,01 Mar 2017,0.2413
,Mar,01,02 Mar 2017,0.2442
,,02,03 Mar 2017,0.2455
,,03,06 Mar 2017,0.2494
,,06,07 Mar 2017,0.2507
,,07,08 Mar 2017,0.2515
,,08,09 Mar 2017,0.2509
,,09,10 Mar 2017,0.2510
,,10,13 Mar 2017,0.2517
,,13,14 Mar 2017,0.2486
,,14,15 Mar 2017,0.2460
,,15,16 Mar 2017,0.2430
,,16,17 Mar 2017,0.2442
,,17,20 Mar 2017,0.2509
,,20,21 Mar 2017,0.2545
,,21,22 Mar 2017,0.2558
,,22,23 Mar 2017,0.2582
,,23,24 Mar 2017,0.2572
,,24,27 Mar 2017,0.2592
,,27,28 Mar 2017,0.2585
,,28,29 Mar 2017,0.2562
,,29,30 Mar 2017,0.2570
,,30,31 Mar 2017,0.2567
,,31,03 Apr 2017,0.2604
,Apr,03,04 Apr 2017,0.2655
,,04,05 Apr 2017,0.2683
,,05,06 Apr 2017,0.2705
,,06,07 Apr 2017,0.2717
,,07,10 Apr 2017,0.2748
,,10,11 Apr 2017,0.2774
,,11,12 Apr 2017,0.2811
