postal_code,lease_commence_date
310058,1967
310120,1968
160048,1970
310056,1967
090007,1975
162002,1971
730016,1984
150037,1969
370049,1969
370063,1967
310055,1967
610112,1970
320033,1970
370034,1967
640185,1975
310059,1973
310057,1973
370036,1971
640187,1978
643990,2008
600038,1966
640186,1975
610120,1972
140166,1970
370020,1967
640212,1974
310008,1970
431004,1969
653438,2020
100045,1976
310061,1967
120607,1979
611150,2019
310096,1970
310073,1973
310159,1972
470617,1986
310012,1970
120506,1978
640208,1976
090020,1975
570022,1973
792418,2018
650109,1985
730204,1981
160136,1975
370067,1969
140081,1967
370066,1967
310091,1970
160009,1982
731780,2015
120608,1979
140167,1971
310128,1970
431006,1969
752102,2020
160030,1969
400018,1977
650501,1986
650241,1985
600303,1983
600101,1983
310195,1973
140092,1967
600306,1983
460501,1978
370045,1971
650226,1984
130020,1978
650305,1985
650233,1985
120715,1981
090013,1975
100047,1976
310194,1973
310083,1971
160026,1969
140082,1967
162012,1970
460001,1976
530024,1978
760165,1988
460502,1978
671633,2013
640480,1985
120729,1983
320082,1974
141168,1971
140158,1970
651451,2019
600318,1984
640528,1983
730006,1976
560213,1976
652468,2021
651441,2019
650238,1986
310111,1970
162004,1971
640534,1982
650316,1986
650217,1984
380053,1981
120705,1980
460529,1979
120352,1978
120362,1978
460076,1978
322002,1976
460018,1976
310157,1971
310126,1970
760269,1988
650135,1984
600261,1983
560225,1978
160107,1970
652464,2021
751366,2019
760701,1984
640530,1983
600205,1983
560475,1979
560129,1979
560232,1977
560220,1977
140097,1970
390093,1969
730023,1977
310026,1971
792457,2020
650359,1988
650420,1988
650323,1987
650260,1985
760237,1985
650235,1985
600210,1983
600248,1983
600249,1983
560629,1981
560538,1980
160036,1971
650164,1984
760704,1984
640535,1983
140170,1970
461037,1983
560127,1978
530021,1978
150130,1973
650528,1987
730024,1977
160142,1979
730316,1993
470620,1986
640477,1984
600257,1983
560180,1981
560444,1979
460069,1978
640211,1976
130021,1976
460504,1978
730101,1985
560577,1980
460510,1979
460519,1979
120427,1978
560503,1981
560432,1979
140154,1970
760251,1984
530313,1993
520139,1987
550153,1986
530629,1986
461057,1985
650253,1985
640457,1984
640536,1983
600208,1982
560536,1980
560418,1979
120341,1979
560118,1978
560117,1978
440034,1975
330057,1974
