month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,quarter,rpi,resale_price_real,sora_3m,inflation_yoy,real_interest_rate,sora_3m_lag1,real_interest_rate_lag1,lat,lon,nearest_mrt_line,nearest_mrt_dist_m
2018-04-01,ANG MO KIO,3 ROOM,256,ANG MO KIO AVE 4,04 TO 06,88.0,New Generation,1977,58 years 03 months,365000.0,2018-Q2,131.7,371097.19,0.8872,-1.4958863126402395,2.3830863126402395,0.682,2.3996997759522114,1.37061517595951,103.83596769452,NS,1515.6
2018-04-01,BEDOK,3 ROOM,108,BEDOK NTH RD,10 TO 12,67.0,New Generation,1977,58 years 03 months,305000.0,2018-Q2,131.7,310094.91,0.8872,-1.4958863126402395,2.3830863126402395,0.682,2.3996997759522114,1.33274009226511,103.936223519694,DT,650.5
2018-04-01,BEDOK,4 ROOM,657,JLN TENAGA,04 TO 06,107.0,Model A,1996,77 years 03 months,465000.0,2018-Q2,131.7,472767.65,0.8872,-1.4958863126402395,2.3830863126402395,0.682,2.3996997759522114,1.33383104148884,103.90708968723,DT,187.3
2018-04-01,BUKIT BATOK,3 ROOM,242,BT BATOK EAST AVE 5,10 TO 12,69.0,New Generation,1985,66 years 08 months,238500.0,2018-Q2,131.7,242484.05,0.8872,-1.4958863126402395,2.3830863126402395,0.682,2.3996997759522114,1.35095950808957,103.756233418128,NS,773.9
2018-04-01,BUKIT BATOK,3 ROOM,242,BT BATOK EAST AVE 5,01 TO 03,67.0,New Generation,1985,66 years 09 months,260000.0,2018-Q2,131.7,264343.2,0.8872,-1.4958863126402395,2.3830863126402395,0.682,2.3996997759522114,1.35095950808957,103.756233418128,NS,773.9
2018-04-01,BUKIT BATOK,4 ROOM,183,BT BATOK WEST AVE 8,04 TO 06,103.0,New Generation,1984,65 years 05 months,405000.0,2018-Q2,131.7,411765.38,0.8872,-1.4958863126402395,2.3830863126402395,0.682,2.3996997759522114,1.34632638068317,103.743377821414,NS,748.0
2018-04-01,BUKIT MERAH,4 ROOM,5,DELTA AVE,04 TO 06,91.0,New Generation,1985,66 years 08 months,593000.0,2018-Q2,131.7,602905.85,0.8872,-1.4958863126402395,2.3830863126402395,0.682,2.3996997759522114,1.29223145125728,103.827600712862,EW,672.9
2018-04-01,BUKIT MERAH,5 ROOM,20,JLN MEMBINA,10 TO 12,110.0,Improved,2003,84 years 05 months,840000.0,2018-Q2,131.7,854031.89,0.8872,-1.4958863126402395,2.3830863126402395,0.682,2.3996997759522114,1.28562459787443,103.825923251122,EW,128.4
2018-04-01,CHOA CHU KANG,5 ROOM,228,CHOA CHU KANG CTRL,04 TO 06,122.0,Improved,1989,70 years 02 months,450000.0,2018-Q2,131.7,457517.08,0.8872,-1.4958863126402395,2.3830863126402395,0.682,2.3996997759522114,1.38094750691966,103.746495785208,NS,519.4
2018-04-01,HOUGANG,4 ROOM,137,LOR AH SOO,04 TO 06,106.0,Model A,1985,66 years 01 month,395000.0,2018-Q2,131.7,401598.33,0.8872,-1.4958863126402395,2.3830863126402395,0.682,2.3996997759522114,1.34905321621757,103.88664017294,CC,1033.6
2018-04-01,JURONG WEST,4 ROOM,276A,JURONG WEST ST 25,10 TO 12,88.0,Model A2,2002,82 years 10 months,315000.0,2018-Q2,131.7,320261.96,0.8872,-1.4958863126402395,2.3830863126402395,0.682,2.3996997759522114,1.35320439038387,103.703654377512,EW,1643.1
2018-04-01,KALLANG/WHAMPOA,3 ROOM,1,KG KAYU RD,01 TO 03,62.0,Standard,1984,65 years 06 months,292000.0,2018-Q2,131.7,296877.75,0.8872,-1.4958863126402395,2.3830863126402395,0.682,2.3996997759522114,1.30355769675629,103.883796413118,CC,328.0
2018-04-01,SENGKANG,5 ROOM,157A,RIVERVALE CRES,10 TO 12,109.0,Premium Apartment,2003,84 years 06 months,400000.0,2018-Q2,131.7,406681.85,0.8872,-1.4958863126402395,2.3830863126402395,0.682,2.3996997759522114,1.38785512397153,103.908392900982,NE,1497.1
2018-04-01,SENGKANG,5 ROOM,157A,RIVERVALE CRES,10 TO 12,110.0,Premium Apartment,2003,84 years 06 months,435000.0,2018-Q2,131.7,442266.51,0.8872,-1.4958863126402395,2.3830863126402395,0.682,2.3996997759522114,1.38785512397153,103.908392900982,NE,1497.1
2018-04-01,TOA PAYOH,3 ROOM,94,LOR 4 TOA PAYOH,04 TO 06,60.0,Standard,1967,48 years 02 months,222000.0,2018-Q2,131.7,225708.43,0.8872,-1.4958863126402395,2.3830863126402395,0.682,2.3996997759522114,1.33889442783825,103.849538318068,NS,340.7
2018-04-01,WOODLANDS,4 ROOM,108,WOODLANDS ST 13,07 TO 09,91.0,New Generation,1987,67 years 09 months,320000.0,2018-Q2,131.7,325345.48,0.8872,-1.4958863126402395,2.3830863126402395,0.682,2.3996997759522114,1.43721908735525,103.781576753293,NS,529.0
2018-04-01,WOODLANDS,EXECUTIVE,331,WOODLANDS AVE 1,10 TO 12,192.0,Apartment,1994,74 years 09 months,800000.0,2018-Q2,131.7,813363.71,0.8872,-1.4958863126402395,2.3830863126402395,0.682,2.3996997759522114,1.42940879659713,103.778713415091,NS,634.6
2018-04-01,YISHUN,5 ROOM,624,YISHUN RING RD,01 TO 03,121.0,Improved,1987,67 years 11 months,430000.0,2018-Q2,131.7,437182.99,0.8872,-1.4958863126402395,2.3830863126402395,0.682,2.3996997759522114,1.41807789053212,103.835582914002,NS,285.6
2018-05-01,BEDOK,4 ROOM,108,BEDOK NTH RD,10 TO 12,91.0,New Generation,1977,58 years 02 months,408000.0,2018-Q2,131.7,414815.49,0.8872,-1.4958863126402395,2.3830863126402395,0.682,2.3996997759522114,1.33274009226511,103.936223519694,DT,650.5
